"","InfantID","FileName","code1","code2","seqcode"
"494","WW04","WW04_segment2.txt","P","P","PP"
"495","WW04","WW04_segment2.txt","P","P","PP"
"496","WW04","WW04_segment2.txt","P","P","PP"
"497","WW04","WW04_segment2.txt","P","P","PP"
"498","WW04","WW04_segment2.txt","P","P","PP"
"499","WW04","WW04_segment2.txt","P","P","PP"
"500","WW04","WW04_segment2.txt","P","P","PP"
"501","WW04","WW04_segment2.txt","P","P","PP"
"502","WW04","WW04_segment2.txt","P","P","PP"
"503","WW04","WW04_segment2.txt","P","P","PP"
"504","WW04","WW04_segment2.txt","P","X","PX"
"505","WW04","WW04_segment2.txt","X","X","XX"
"506","WW04","WW04_segment2.txt","X","X","XX"
"507","WW04","WW04_segment3.txt","T","T","TT"
"508","WW04","WW04_segment3.txt","T","X","TX"
"509","WW04","WW04_segment3.txt","X","P","XP"
"510","WW04","WW04_segment3.txt","P","T","PT"
"511","WW04","WW04_segment3.txt","T","N","TN"
"512","WW04","WW04_segment3.txt","N","T","NT"
"513","WW04","WW04_segment3.txt","T","P","TP"
"514","WW04","WW04_segment3.txt","P","T","PT"
"515","WW04","WW04_segment3.txt","T","T","TT"
"516","WW04","WW04_segment3.txt","T","X","TX"
"517","WW04","WW04_segment3.txt","X","N","XN"
"518","WW04","WW04_segment3.txt","N","T","NT"
"519","WW04","WW04_segment3.txt","T","N","TN"
"520","WW04","WW04_segment3.txt","N","T","NT"
"521","WW04","WW04_segment3.txt","T","N","TN"
"522","WW04","WW04_segment3.txt","N","T","NT"
"523","WW04","WW04_segment3.txt","T","T","TT"
"524","WW04","WW04_segment3.txt","T","P","TP"
"525","WW04","WW04_segment3.txt","P","P","PP"
"526","WW04","WW04_segment3.txt","P","N","PN"
"527","WW04","WW04_segment3.txt","N","P","NP"
"528","WW04","WW04_segment3.txt","P","X","PX"
"529","WW04","WW04_segment3.txt","X","P","XP"
"530","WW04","WW04_segment3.txt","P","N","PN"
"531","WW04","WW04_segment3.txt","N","T","NT"
"532","WW04","WW04_segment3.txt","T","T","TT"
"533","WW04","WW04_segment3.txt","T","U","TU"
